Text,Target,clened_text
سجاد غریبی بیشتر بدرد خندوانه میخوره   × نولانی ×  @OfficialPersianTwitter,1,سجاد غریبی بدرد خندوانه میخوره نولانی
کاش سجاد غریبی رو ممنون الخروج کنن که دیگه نتونه بره جایی آبروریزی کنه  × Ali ×  @OfficialPersianTwitter,1,کاش سجاد غریبی ممنون الخروج کنن دیگه نتونه بره آبروریزی کنه
میگن سجاد غریبی وسطای مسابقه گفته: قبول نیس، این مشت میزنه   × 𝐒𝐨𝐛𝐡𝐚𝐧 𝐙𝐚𝐫𝐠𝐡𝐚𝐦𝐢 ×  @OfficialPersianTwitter,2,میگن سجاد غریبی وسطای مسابقه قبول نیس مشت میزنه
به کیسه بوکس مشت میزنی برمیگرده، سجاد غریبی میرفت دیگه برنمیگشت ...   × $|-|@|-|R@M  ×  @OfficialPersianTwitter,1,کیسه بوکس مشت می‌زنی برمیگرده سجاد غریبی می‌رفت دیگه برنمیگشت
‏اگه جای سجاد غریبی بودم حالا که کتکه رو خورده‌م فورا برای گرفتن دیه اقدام می‌کردم. فیلمشم هست یارو نمی‌تونه انکار کنه.  × تارانزینو ×  @OfficialPersianTwitter,1,اگه سجاد غریبی بودم کتکه خوردهم فورا گرفتن دیه اقدام می‌کردم فیلمشم هست یارو نمیتونه انکار کنه تارانزینو
‏سجاد غریبی جوونمردی کرد تبدیل نشد وگرنه اگه هالک می‌شد حریفشو می‌برد.  × موفاسا ×  @OfficialPersianTwitter,1,سجاد غریبی جوونمردی نشد وگرنه اگه لک حریفشو می‌برد موفاسا
‏«قلب تو قلبِ پرنده، پوستت اما پوستِ چرب و مختلط مستعد آکنه.»   × مآن ×  @OfficialPersianTwitter,1,قلب قلب پرنده پوستت پوست چرب مختلط مستعد آکنه مآن
از لحاظ روحی نیاز به مسافرت دارم؛ کاش محرم زودتر تموم بشه بریم صَفر  »بایو«  @OfficialPersianTwitter,1,روحی مسافرت دارم کاش محرم زودتر تموم بشه بریم صفر بایو
پسر خالم هفت سالم با مامانش بد صحبت کرده و مامانش بهش گفته خیلی بی ادبی و ازت ناراحت شدم. اونم رفته تو اتاقش تو سطل آشغال نشسته از خودش سلفی گرفته و فرستاده. زیرشم نوشته «مامان من یه آشغالم که ناراحتت کردم، ببخشید» :))  »Reza«  @OfficialPersianTwitter,2,پسر خالم هفت سالم مامانش بد صحبت مامانش بهش ادبی ازت ناراحت شدم اونم رفته اتاقش سطل آشغال نشسته سلفی فرستاده زیرشم نوشته مامان  آشغالم ناراحتت ببخشید
فلو دیگه چرا فیلتره؟ من واسه اینکه بدونم کی قراره پریود بشمم باید vpn وصل کنم؟  »تینـــا«  @OfficialPersianTwitter,2,فلو دیگه فیلتره واسه بدونم کی قراره پریود بشمم وصل تینا
استرس دارم از یه خونواده پولدار زن بگیرم روز عروسیم که شاباش میندازن رو سر عروس این فامیلای ندید بدیدمون نذارن خودم هیچی‌کاسب‌ شم  »خلافکار«  @OfficialPersianTwitter,1,استرس دارم  خونواده پولدار زن بگیرم روز عروسیم شاباش میندازن سر عروس فامیلای ندید بدیدمون نذارن خودم هیچیکاسب شم خلافکار
یه رفیق ترک داشتم یبار ازم پرسید  موزیسین مورد علاقت کیه؟  گفتم‌ باخ گفت هارا؟  »لایوپوول«  @OfficialPersianTwitter,1, رفیق ترک داشتم یبار ازم پرسید موزیسین علاقت کیه گفتم باخ را لایوپوول
حالا همتون میاین پشت سر مختارنامه بد میگید بعد شبش یواشکی میزنین آی فیلم میبینینش  »شایانوف«  @OfficialPersianTwitter,3,همتون میاین سر مختارنامه بد میگید شبش یواشکی میزنین آی فیلم میبینینش شایانوف
